Track,Level,Keywords,Prerequisites,Matching Interests,description
Front-End Development,Beginner,"HTML5, CSS3, JavaScript ES6+, React.js, Angular, Vue.js, Svelte, TypeScript, Tailwind CSS, Bootstrap, Responsive Design, Web Accessibility, DOM Manipulation, AJAX, Web Components","Basic computer skills, understanding of how websites work, logical thinking, familiarity with any text editor","Passion for design and aesthetics, creativity, attention to visual details, interest in user experience, love for building interactive interfaces",Detailed description for Front-End Development will be added here.
Back-End Development,Intermediate,"Node.js, Express, Python, Django, Flask, PHP, Laravel, SQL, NoSQL, MongoDB, PostgreSQL, RESTful APIs, GraphQL, Docker, Authentication (JWT, OAuth), Caching, Microservices","Programming fundamentals, understanding of client-server architecture, basic knowledge of databases, problem-solving skills","Interest in server-side logic, data management, system architecture, security, performance optimization, working behind the scenes",Detailed description for Back-End Development will be added here.
Full-Stack Development,Intermediate,"MERN Stack (MongoDB, Express, React, Node), MEAN Stack, Next.js, Nuxt.js, REST APIs, GraphQL, WebSockets, CI/CD, DevOps Basics, Testing (Jest, Mocha)","Experience with either front-end or back-end development, understanding of databases, version control with Git","Ability to see the big picture, interest in end-to-end development, project management skills, adaptability to work on both client and server sides",Detailed description for Full-Stack Development will be added here.
Mobile App Development,Intermediate,"React Native, Flutter, Swift (iOS), Kotlin (Android), Java (Android), Dart, Firebase, Mobile UI/UX, App Store/Play Store Deployment, Push Notifications","Understanding of OOP concepts, basic UI design principles, familiarity with mobile devices","Passion for mobile technology, interest in solving mobile-specific challenges, desire to build practical applications, cross-platform development",Detailed description for Mobile App Development will be added here.
Data Science,Intermediate,"Python, Pandas, NumPy, SciPy, Scikit-learn, Data Cleaning, Data Visualization (Matplotlib, Seaborn), SQL, NoSQL, Big Data (Hadoop, Spark), Jupyter Notebooks","Strong foundation in statistics, linear algebra, programming basics (preferably Python), data analysis concepts","Analytical thinking, curiosity about data patterns, storytelling with data, business intelligence, decision-making based on data",Detailed description for Data Science will be added here.
Artificial Intelligence,Advanced,"Python, TensorFlow, PyTorch, Keras, Neural Networks, Deep Learning, NLP, Computer Vision, Reinforcement Learning, Generative AI, LLMs","Advanced mathematics (linear algebra, calculus, probability), strong programming skills, understanding of machine learning basics","Research-oriented mindset, passion for cutting-edge technology, solving complex problems, innovation in AI applications",Detailed description for Artificial Intelligence will be added here.
DevOps & Cloud,Intermediate,"Docker, Kubernetes, AWS, Azure, GCP, CI/CD Pipelines, Terraform, Ansible, Linux, Bash Scripting, Monitoring (Prometheus, Grafana), Microservices","Networking fundamentals, Linux command line experience, basic understanding of software development lifecycle","Interest in automation, infrastructure as code, cloud technologies, system reliability, performance optimization",Detailed description for DevOps & Cloud will be added here.
Game Development,Intermediate,"Unity, C#, Unreal Engine, Blueprints, 3D Modeling (Blender, Maya), Physics Engines, Game Design Patterns, Shaders, VR/AR Development","Mathematics (geometry, vectors, matrices), creative design skills, basic programming knowledge","Passion for gaming, visual creativity, storytelling, interest in interactive media, problem-solving in game contexts",Detailed description for Game Development will be added here.
Cybersecurity,Advanced,"Kali Linux, Penetration Testing, Ethical Hacking, Cryptography, Network Security, Web Application Security, Forensics, SIEM Tools, Risk Management","Networking knowledge, basic programming (Python), analytical and logical thinking","Curiosity about security vulnerabilities, ethical mindset, problem-solving under constraints, continuous learning attitude",Detailed description for Cybersecurity will be added here.
Blockchain & Web3,Intermediate,"Solidity, Ethereum, Smart Contracts, Web3.js, Hardhat, Truffle, Cryptography, DApp Development, IPFS, Consensus Algorithms","Understanding of encryption basics, JavaScript/Python fundamentals, distributed systems concepts","Interest in decentralization, cryptocurrencies, trustless systems, innovation in financial technologies",Detailed description for Blockchain & Web3 will be added here.
Embedded Systems & IoT,Intermediate,"C, C++, Arduino, Raspberry Pi, Sensors, Microcontrollers, RTOS, PCB Design, Wireless Protocols (BLE, Zigbee), Firmware Development","Basic electronics knowledge, understanding of microprocessors, programming fundamentals","Hands-on tinkering with hardware, interest in robotics, smart devices, automation, low-level programming",Detailed description for Embedded Systems & IoT will be added here.
UI/UX Design,Beginner,"Figma, Adobe XD, Sketch, User Research, Wireframing, Prototyping, Information Architecture, Usability Testing, Design Systems, Accessibility","Basic design principles, understanding of user psychology, color theory, typography","Empathy for users, problem-solving through design, attention to detail, creativity, collaboration with developers",Detailed description for UI/UX Design will be added here.
QA & Testing,Intermediate,"Selenium, Jest, Cypress, JUnit, TestNG, Automated Testing, Manual Testing, Bug Tracking (JIRA), Performance Testing, Security Testing","Attention to detail, understanding of software development lifecycle, basic programming knowledge","Analytical mindset, patience for repetitive tasks, error hunting, quality assurance passion",Detailed description for QA & Testing will be added here.
Cloud Computing,Intermediate,"AWS Certified Solutions Architect, Azure Administrator, Google Cloud Engineer, Cloud Security, Serverless Architecture, Containers, Cloud Storage","Networking basics, understanding of virtualization, Linux/Windows server fundamentals","Interest in scalable systems, infrastructure management, cost optimization, hybrid cloud solutions",Detailed description for Cloud Computing will be added here.
Data Engineering,Advanced,"Apache Spark, Hadoop, Airflow, Kafka, ETL Pipelines, Data Warehousing, SQL Optimization, Big Data Technologies, Cloud Data Solutions","Strong SQL skills, understanding of distributed systems, programming (Python/Java/Scala)","Building data pipelines, interest in data infrastructure, optimizing data workflows, large-scale data processing",Detailed description for Data Engineering will be added here.
